portfolio,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,calmar,n_days,annualized_turnover
strategy,0.22548409252937485,0.16523210373841882,1.3646506182983773,2.3505169024377737,-0.16840529859833386,1.3389370429916254,1100,6.7943135663841545
benchmark_qqq,0.14568456079169945,0.23232499617181554,0.6270722616689884,1.040616779051949,-0.34827994402729656,0.4182973016105727,1100,
benchmark_spy,0.11962723894247618,0.17657669321036285,0.6774803444753578,1.1180091748492977,-0.24496380915025429,0.48834658212348425,1100,
benchmark_equal_weight_universe,0.2497477413777922,0.1801593704635336,1.3862600692665281,2.351708358570646,-0.23462944335172764,1.0644347862318417,1100,
benchmark_equal_risk_universe,0.22172590377074752,0.14883048362949156,1.4897882366809116,2.4770695809996717,-0.1883312353682981,1.1773187986429507,1100,
