portfolio,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,calmar,n_days,annualized_turnover
strategy,0.30544578966385116,0.30891595621175616,0.9887666322243119,1.6434342488183469,-0.450269562832617,0.6783620632545342,1603,9.134660023640972
benchmark_qqq,0.2161681917017939,0.24944982138992502,0.8665798616223209,1.3955301772068227,-0.3482797643291997,0.6206739921228045,1603,
benchmark_spy,0.15746498123402297,0.20385615327820053,0.7724318285312292,1.2101556658204948,-0.33717274577612155,0.46701574550921066,1603,
benchmark_equal_weight_universe,0.25007772144357676,0.23685340969624244,1.0558333180184913,1.9133320613770821,-0.34761248572033143,0.7194152446088332,1603,
benchmark_equal_risk_universe,0.21901930459499286,0.17292493889167423,1.2665570738307077,2.1827985050554006,-0.1975875253805499,1.1084672687365549,1603,
benchmark_dollar_volume_weighted,0.15697699389242947,0.28784137485458566,0.5453593805676218,0.960284500993557,-0.44911642882491043,0.34952405171004663,1603,
benchmark_equal_weight_active_universe,0.27381573243535495,0.3200057465465685,0.8556587979757051,1.6325657802259277,-0.46204103077824776,0.5926221140450408,1603,
benchmark_equal_risk_active_universe,0.24980163676330713,0.21139878183053368,1.181660720086641,2.1130066754701087,-0.23026389490876553,1.0848493501870224,1603,
benchmark_equal_risk_active_universe_cost10bps,0.24214241263554115,0.21139975918458495,1.1454242595617767,2.046041790931642,-0.23254409208055182,1.041275271580172,1603,
benchmark_random_positive_signal,0.25022073091913133,0.21648936060104063,1.1558107531217336,2.074302000033337,-0.2586838377194848,0.9672839753926536,1603,
benchmark_shuffled_signal,0.5390844643881967,0.2959739507642346,1.8213915886726728,3.398833530342393,-0.30289803592245346,1.779755562780244,1603,
