portfolio,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,calmar,n_days,annualized_turnover
strategy,0.36303350902614673,0.3071255398509387,1.1820362096956918,1.9514837342580285,-0.4441414172370729,0.8173826959992057,1603,9.28414668759034
benchmark_qqq,0.2161681917017939,0.24944982138992502,0.8665798616223209,1.3955301772068227,-0.3482797643291997,0.6206739921228045,1603,
benchmark_spy,0.15746498123402297,0.20385615327820053,0.7724318285312292,1.2101556658204948,-0.33717274577612155,0.46701574550921066,1603,
benchmark_equal_weight_universe,0.21341005414657488,0.20092571185213348,1.0621341200156054,1.6818572461639285,-0.3478110384024936,0.6135804519798267,1603,
benchmark_equal_risk_universe,0.2991592515237389,0.18197601939852914,1.6439487604604506,3.1639601987326356,-0.18174337646949557,1.6460531180565516,1603,
benchmark_dollar_volume_weighted,0.27095212021888204,0.2275151878754001,1.1909188250204659,1.991640321002345,-0.3412208994486041,0.7940666021827124,1603,
benchmark_equal_weight_active_universe,0.2169587286492971,0.22593966022478354,0.9602507520523336,1.5147595260428368,-0.3984316141042672,0.5445319120498312,1603,
benchmark_equal_risk_active_universe,0.24509346647613284,0.16979864296666544,1.4434359556351055,2.492096478821091,-0.17983433076614708,1.362884747489329,1603,
benchmark_equal_risk_active_universe_cost10bps,0.23758049674658532,0.16976673589894734,1.3994525811464251,2.41321243692708,-0.1820049455996815,1.3053518736196423,1603,
benchmark_random_positive_signal,0.24049439556549612,0.17505756522458707,1.3738017848983448,2.3761069840512037,-0.2167049864123396,1.1097778576626325,1603,
benchmark_shuffled_signal,0.3069870618451471,0.23232747350187663,1.3213549702836476,2.3381340663000345,-0.21290127639755163,1.4419221295409645,1603,
