portfolio,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,calmar,n_days,annualized_turnover
strategy,0.13243933882953596,0.20344362544465297,0.6509879016364963,1.0127682075441156,-0.3736974477842857,0.3544025778468406,1603,9.140155049190062
benchmark_qqq,0.2161681917017939,0.24944982138992502,0.8665798616223209,1.3955301772068227,-0.3482797643291997,0.6206739921228045,1603,
benchmark_spy,0.15746498123402297,0.20385615327820053,0.7724318285312292,1.2101556658204948,-0.33717274577612155,0.46701574550921066,1603,
benchmark_equal_weight_universe,0.21341005414657488,0.20092571185213348,1.0621341200156054,1.6818572461639285,-0.3478110384024936,0.6135804519798267,1603,
benchmark_equal_risk_universe,0.2991592515237389,0.18197601939852914,1.6439487604604506,3.1639601987326356,-0.18174337646949557,1.6460531180565516,1603,
benchmark_dollar_volume_weighted,0.27095212021888204,0.2275151878754001,1.1909188250204659,1.991640321002345,-0.3412208994486041,0.7940666021827124,1603,
benchmark_equal_weight_active_universe,0.2158058442635813,0.22639369783649224,0.953232560472784,1.502031466037332,-0.4004415822027563,0.5389196673244387,1603,
benchmark_equal_risk_active_universe,0.24514708504982896,0.16981221432398869,1.443636348691073,2.492582504445365,-0.17983433076614685,1.3631829028719415,1603,
benchmark_random_positive_signal,0.25348541643248645,0.17228203477431953,1.4713398107036473,2.545849958462722,-0.1804332745437427,1.4048706762844545,1603,
benchmark_shuffled_signal,0.3403380902873778,0.23080090838045833,1.4745959739740517,2.5829397303047354,-0.24201331633011558,1.4062783628944757,1603,
