portfolio,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,calmar,n_days,annualized_turnover
strategy,0.27461288392297667,0.2709195237733529,1.0136326836035399,1.6202603126886044,-0.4307126513840138,0.6375779374962867,1603,8.228601923404856
benchmark_qqq,0.2161681917017939,0.24944982138992502,0.8665798616223209,1.3955301772068227,-0.3482797643291997,0.6206739921228045,1603,
benchmark_spy,0.15746498123402297,0.20385615327820053,0.7724318285312292,1.2101556658204948,-0.33717274577612155,0.46701574550921066,1603,
benchmark_equal_weight_universe,0.21341005414657488,0.20092571185213348,1.0621341200156054,1.6818572461639285,-0.3478110384024936,0.6135804519798267,1603,
benchmark_equal_risk_universe,0.2991592515237389,0.18197601939852914,1.6439487604604506,3.1639601987326356,-0.18174337646949557,1.6460531180565516,1603,
benchmark_dollar_volume_weighted,0.27095212021888204,0.2275151878754001,1.1909188250204659,1.991640321002345,-0.3412208994486041,0.7940666021827124,1603,
benchmark_equal_weight_active_universe,0.2169587286492971,0.22593966022478354,0.9602507520523336,1.5147595260428368,-0.3984316141042672,0.5445319120498312,1603,
benchmark_equal_risk_active_universe,0.24509346647613284,0.16979864296666544,1.4434359556351055,2.492096478821091,-0.17983433076614708,1.362884747489329,1603,
benchmark_equal_risk_active_universe_cost10bps,0.23758049674658532,0.16976673589894734,1.3994525811464251,2.41321243692708,-0.1820049455996815,1.3053518736196423,1603,
benchmark_random_positive_signal,0.24774173173870828,0.17221378406702223,1.438570861681386,2.463164947696656,-0.18982569171929253,1.3051011667327936,1603,
benchmark_shuffled_signal,0.3482117346193798,0.23015883257448586,1.5129192771982312,2.7124532818347067,-0.2383675814413886,1.46081833995115,1603,
