portfolio,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,calmar,n_days,annualized_turnover
strategy,0.14151081207878158,0.19610221383654752,0.7216176161923994,1.104043143593629,-0.37223002559228135,0.38017033111075277,1603,7.567534316046751
benchmark_qqq,0.2161681917017939,0.24944982138992502,0.8665798616223209,1.3955301772068227,-0.3482797643291997,0.6206739921228045,1603,
benchmark_spy,0.15746498123402297,0.20385615327820053,0.7724318285312292,1.2101556658204948,-0.33717274577612155,0.46701574550921066,1603,
benchmark_equal_weight_universe,0.21341005414657488,0.20092571185213348,1.0621341200156054,1.6818572461639285,-0.3478110384024936,0.6135804519798267,1603,
benchmark_equal_risk_universe,0.2991592515237389,0.18197601939852914,1.6439487604604506,3.1639601987326356,-0.18174337646949557,1.6460531180565516,1603,
benchmark_dollar_volume_weighted,0.27095212021888204,0.2275151878754001,1.1909188250204659,1.991640321002345,-0.3412208994486041,0.7940666021827124,1603,
benchmark_equal_weight_active_universe,0.22839799021598273,0.22950790292687023,0.9951639455690501,1.5724287043517757,-0.3964181697122169,0.5761541918772043,1603,
benchmark_equal_risk_active_universe,0.25328919461848076,0.17070666827018635,1.4837686025105168,2.5663362266341827,-0.17932703366981972,1.4124428951679509,1603,
benchmark_random_positive_signal,0.2479770180172094,0.17502970674004853,1.4167710306771015,2.456149368233724,-0.23213423785650267,1.0682483562398932,1603,
benchmark_shuffled_signal,0.3286879606845683,0.25299426969789385,1.2991913258630798,2.215388480016345,-0.2951925604538491,1.1134696625796432,1603,
