portfolio,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,calmar,n_days,annualized_turnover
strategy,0.1193978037722565,0.2019801604320148,0.5911362953513696,0.9074528585791242,-0.38892198811320366,0.3069967947852394,1603,8.839672611515711
benchmark_qqq,0.2161681917017939,0.24944982138992502,0.8665798616223209,1.3955301772068227,-0.3482797643291997,0.6206739921228045,1603,
benchmark_spy,0.15746498123402297,0.20385615327820053,0.7724318285312292,1.2101556658204948,-0.33717274577612155,0.46701574550921066,1603,
benchmark_equal_weight_universe,0.21341005414657488,0.20092571185213348,1.0621341200156054,1.6818572461639285,-0.3478110384024936,0.6135804519798267,1603,
benchmark_equal_risk_universe,0.2991592515237389,0.18197601939852914,1.6439487604604506,3.1639601987326356,-0.18174337646949557,1.6460531180565516,1603,
benchmark_dollar_volume_weighted,0.27095212021888204,0.2275151878754001,1.1909188250204659,1.991640321002345,-0.3412208994486041,0.7940666021827124,1603,
benchmark_equal_weight_active_universe,0.22609286525207084,0.23017473647333725,0.9822662066054358,1.5484562644350086,-0.4004832312266947,0.5645501424854673,1603,
benchmark_equal_risk_active_universe,0.253372843771722,0.1707244125396818,1.4841043527552338,2.5671104919577603,-0.17932703366981861,1.4129093566463513,1603,
benchmark_random_positive_signal,0.23161560206926812,0.17580803459729488,1.3174346815252547,2.2659309701387027,-0.18711434160480156,1.2378292336268713,1603,
benchmark_shuffled_signal,0.34789167982047897,0.24933628563698731,1.3952709648004464,2.475655705382419,-0.33526788695249965,1.037652854207799,1603,
